group,question,option,count,percentage,total_count
Q3,Knowledge development and dissemination. ,Knowledge development and dissemination. ,9,12.7,71
Q3,Technical assistance and capacity-building of constituents. ,Technical assistance and capacity-building of constituents. ,12,16.9,71
Q3,Advocacy and partnerships. ,Advocacy and partnerships. ,12,16.9,71
Q4,Employment and economic policies for youth employment. ,Employment and economic policies for youth employment. ,11,15.5,71
Q4,"Employability – Education, training and skills, and the school-to-work transition. ","Employability – Education, training and skills, and the school-to-work transition. ",13,18.3,71
Q4,Labour market policies. ,Labour market policies. ,9,12.7,71
Q4,Youth entrepreneurship and self-employment. ,Youth entrepreneurship and self-employment. ,11,15.5,71
Q4,Rights for young people. ,Rights for young people. ,7,9.9,71
Q5,Young women,Young women,11,15.5,71
Q5,"Young people not in employment, education or training (NEET) ","Young people not in employment, education or training (NEET) ",10,14.1,71
Q5,Young migrant workers ,Young migrant workers ,10,14.1,71
Q5,Young people with disabilities ,Young people with disabilities ,9,12.7,71
Q5,Young rural workers  ,Young rural workers  ,6,8.5,71
Q5,Young indigenous people ,Young indigenous people ,8,11.3,71
Q3,Knowledge development and dissemination. ,Knowledge development and dissemination. ,2,11.8,17
Q3,Technical assistance and capacity-building of constituents. ,Technical assistance and capacity-building of constituents. ,4,23.5,17
Q3,Advocacy and partnerships. ,Advocacy and partnerships. ,4,23.5,17
Q4,Employment and economic policies for youth employment. ,Employment and economic policies for youth employment. ,2,11.8,17
Q4,"Employability – Education, training and skills, and the school-to-work transition. ","Employability – Education, training and skills, and the school-to-work transition. ",4,23.5,17
Q4,Labour market policies. ,Labour market policies. ,2,11.8,17
Q4,Youth entrepreneurship and self-employment. ,Youth entrepreneurship and self-employment. ,4,23.5,17
Q4,Rights for young people. ,Rights for young people. ,2,11.8,17
Q5,Young women,Young women,4,23.5,17
Q5,"Young people not in employment, education or training (NEET) ","Young people not in employment, education or training (NEET) ",4,23.5,17
Q5,Young refugees ,Young refugees ,3,17.6,17
Q5,Young people with disabilities ,Young people with disabilities ,2,11.8,17
Q5,Young rural workers  ,Young rural workers  ,2,11.8,17
Q3,Knowledge development and dissemination. ,Knowledge development and dissemination. ,8,12.7,63
Q3,Technical assistance and capacity-building of constituents. ,Technical assistance and capacity-building of constituents. ,7,11.1,63
Q3,Advocacy and partnerships. ,Advocacy and partnerships. ,6,9.5,63
Q4,Employment and economic policies for youth employment. ,Employment and economic policies for youth employment. ,7,11.1,63
Q4,"Employability – Education, training and skills, and the school-to-work transition. ","Employability – Education, training and skills, and the school-to-work transition. ",7,11.1,63
Q4,Labour market policies. ,Labour market policies. ,6,9.5,63
Q4,Youth entrepreneurship and self-employment. ,Youth entrepreneurship and self-employment. ,6,9.5,63
Q4,Rights for young people. ,Rights for young people. ,5,7.9,63
Q5,Young women,Young women,7,11.1,63
Q5,"Young people not in employment, education or training (NEET) ","Young people not in employment, education or training (NEET) ",7,11.1,63
Q5,Young migrant workers ,Young migrant workers ,6,9.5,63
Q5,Young refugees ,Young refugees ,6,9.5,63
Q5,Young people with disabilities ,Young people with disabilities ,6,9.5,63
Q5,Young rural workers  ,Young rural workers  ,6,9.5,63
Q5,Young indigenous people ,Young indigenous people ,6,9.5,63
Q3,Knowledge development and dissemination. ,Knowledge development and dissemination. ,2,20.0,10
Q3,Technical assistance and capacity-building of constituents. ,Technical assistance and capacity-building of constituents. ,2,20.0,10
Q3,Advocacy and partnerships. ,Advocacy and partnerships. ,2,20.0,10
Q4,Employment and economic policies for youth employment. ,Employment and economic policies for youth employment. ,2,20.0,10
Q4,"Employability – Education, training and skills, and the school-to-work transition. ","Employability – Education, training and skills, and the school-to-work transition. ",2,20.0,10
Q4,Labour market policies. ,Labour market policies. ,2,20.0,10
Q5,Young women,Young women,2,20.0,10
Q5,"Young people not in employment, education or training (NEET) ","Young people not in employment, education or training (NEET) ",2,20.0,10
Q3,Knowledge development and dissemination. ,Knowledge development and dissemination. ,28,12.7,220
Q3,Technical assistance and capacity-building of constituents. ,Technical assistance and capacity-building of constituents. ,31,14.1,220
Q3,Advocacy and partnerships. ,Advocacy and partnerships. ,29,13.2,220
Q4,Employment and economic policies for youth employment. ,Employment and economic policies for youth employment. ,26,11.8,220
Q4,"Employability – Education, training and skills, and the school-to-work transition. ","Employability – Education, training and skills, and the school-to-work transition. ",31,14.1,220
Q4,Labour market policies. ,Labour market policies. ,23,10.5,220
Q4,Youth entrepreneurship and self-employment. ,Youth entrepreneurship and self-employment. ,27,12.3,220
Q4,Rights for young people. ,Rights for young people. ,19,8.6,220
Q5,Young women,Young women,31,14.1,220
Q5,"Young people not in employment, education or training (NEET) ","Young people not in employment, education or training (NEET) ",29,13.2,220
Q5,Young migrant workers ,Young migrant workers ,20,9.1,220
Q5,Young refugees ,Young refugees ,13,5.9,220
Q5,Young people with disabilities ,Young people with disabilities ,21,9.5,220
Q5,Young rural workers  ,Young rural workers  ,19,8.6,220
Q5,Young indigenous people ,Young indigenous people ,16,7.3,220
