Question,Variable Name,Variable Value,Frequency,Percentage
Q6,Flagship or periodic (Y/N)?,No,86,79.6%
Q6,Flagship or periodic (Y/N)?,Yes,22,20.4%
Q6,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database)",Technical Report,60,54.5%
Q6,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database)",Working paper,15,13.6%
Q6,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database)",Guidance/Tools,14,12.7%
Q6,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database)",best practices/lessons learned,14,12.7%
Q6,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database)",Data/Database,6,5.5%
Q6,New or Produced regularly,New,84,81.6%
Q6,New or Produced regularly,Produced regularly,19,18.4%
Q6,Funding source (Options: regular budget or extrabudgetary),extrabudgetary,72,66.7%
Q6,Funding source (Options: regular budget or extrabudgetary),Regular Budget,36,33.3%
Q6,Focus (Options: Youth only or Youth is one of the target groups),Youth are one of the target groups,85,77.3%
Q6,Focus (Options: Youth only or Youth is one of the target groups),Youth only,25,22.7%
Q7,Country or Region,Asia and the Pacific,49,38.9%
Q7,Country or Region,Africa,43,34.1%
Q7,Country or Region,Arab States,19,15.1%
Q7,Country or Region,Americas,8,6.3%
Q7,Country or Region,Europe and Central Asia,7,5.6%
Q7,New or long-standing,New,71,78.0%
Q7,New or long-standing,Long-standing,20,22.0%
Q7,Funding source (Options: regular budget or extrabudgetary),extrabudgetary,113,89.7%
Q7,Funding source (Options: regular budget or extrabudgetary),Regular Budget,13,10.3%
Q7,DC code if applicable,RER2402EUR,6,13.6%
Q7,DC code if applicable,RAS/21/53/UND,6,13.6%
Q7,DC code if applicable,BGD/20/05/CAN,4,9.1%
Q7,DC code if applicable,BGD/21/02/CAN,3,6.8%
Q7,DC code if applicable,RAS/21/56/UND,3,6.8%
Q7,"Focus 
(Options: Youth only or Youth is one of the target groups)",Youth are one of the target groups,80,63.5%
Q7,"Focus 
(Options: Youth only or Youth is one of the target groups)",Youth only,46,36.5%
Q7,Is it part of a UN Joint Programme (Yes or No),No,60,74.1%
Q7,Is it part of a UN Joint Programme (Yes or No),Yes,21,25.9%
Q10,In person or online or both,in-person,36,56.2%
Q10,In person or online or both,both/hybrid,16,25.0%
Q10,In person or online or both,online,12,18.8%
Q10,With certification (Yes or No),Yes,32,50.0%
Q10,With certification (Yes or No),No,32,50.0%
Q10,New or long-standing,New,33,73.3%
Q10,New or long-standing,Long-standing,12,26.7%
Q10,Funding source (Options: regular budget or extrabudgetary),extrabudgetary,56,87.5%
Q10,Funding source (Options: regular budget or extrabudgetary),Regular Budget,8,12.5%
Q10,Focus (Options: Youth only or Youth is one of the target groups),Youth are one of the target groups,41,64.1%
Q10,Focus (Options: Youth only or Youth is one of the target groups),Youth only,23,35.9%
Q10,For public use or ILO staff only,Public use,48,100.0%
Q11,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",multistakeholder initiative,19,37.3%
Q11,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",event,10,19.6%
Q11,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",bilateral partnership,7,13.7%
Q11,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",campaign,7,13.7%
Q11,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",UN interagency initiative,7,13.7%
Q11,New or long-standing,New,28,63.6%
Q11,New or long-standing,Long-standing,16,36.4%
Q11,Funding source (Options: regular budget or extrabudgetary),extrabudgetary,33,64.7%
Q11,Funding source (Options: regular budget or extrabudgetary),Regular Budget,18,35.3%
Q11,"Focus
 (Options: Youth only or Youth is one of the target groups)",Youth only,29,56.9%
Q11,"Focus
 (Options: Youth only or Youth is one of the target groups)",Youth are one of the target groups,22,43.1%
